File Name,Unmet Heating (Hours),Unmet Cooling (Hours)
CZ16/Rel/defaults/instance-out.sql,0,0
CZ16/RFF/defaults/instance-out.sql,0,0
CZ16/RSD/defaults/instance-out.sql,0,0
CZ16/Rt3/defaults/instance-out.sql,2.17,1
CZ16/RtL/defaults/instance-out.sql,0,0
CZ16/RtS/defaults/instance-out.sql,0,0
CZ16/SCn/defaults/instance-out.sql,0,0
CZ16/SUn/defaults/instance-out.sql,0,0
CZ16/WRf/defaults/instance-out.sql,0,342
CZ01/Htl/defaults/instance-out.sql,0,0
CZ02/Htl/defaults/instance-out.sql,0,0
CZ03/Htl/defaults/instance-out.sql,0,0
CZ04/Htl/defaults/instance-out.sql,0,0
CZ05/Htl/defaults/instance-out.sql,0,0
CZ06/Htl/defaults/instance-out.sql,0,5.33
CZ07/Htl/defaults/instance-out.sql,0,0
CZ08/Htl/defaults/instance-out.sql,0,0.5
CZ09/Htl/defaults/instance-out.sql,0,2.67
CZ10/Htl/defaults/instance-out.sql,0,0
CZ11/Htl/defaults/instance-out.sql,0,0
CZ12/Htl/defaults/instance-out.sql,0,0
CZ13/Htl/defaults/instance-out.sql,0,0.17
CZ14/Htl/defaults/instance-out.sql,0,0
CZ15/Htl/defaults/instance-out.sql,0,0.17
CZ16/Htl/defaults/instance-out.sql,0,0
